Common Name,Latitude,Longitude,Photos,Primary ID,Status,Tree Number,Overall Monetary Benefit,Stormwater Monetary Benefit,Runoff Prevention (Gallons),Property Value Total,Energy Savings,Energy Saved (kWh),Natural Gas Savings,Heat Prevention (Therms),Air Quality Monetary Benefit,Pollutants removed (lb),Carbon Monetary Benefit,Carbon Stored (lb),Carbon Sequestered (lb),Carbon Avoided (lb)
American Beech,40.34027777,-74.66608196,,6140,Alive,1,148.325,22.7119,2102.95,99.2635,8.40741,132.192,11.1441,12.2922,2.96848,1.50947,3.82974,510.632,260.923,291.499
American Beech,40.33232401,-74.65699933,,6032,Alive,1,169.606,31.6599,2931.47,103.451,11.3325,178.184,13.6016,15.0029,4.89655,2.42288,4.66457,621.942,301.031,392.916
American Beech,40.3323879,-74.6568317,,6031,Alive,1,174.914,34.6426,3207.65,102.881,12.4421,195.631,14.4733,15.9644,5.5861,2.75031,4.88882,651.842,304.137,431.39
American Beech,40.33252592,-74.65674654,,6025,Alive,1,169.606,31.6599,2931.47,103.451,11.3325,178.184,13.6016,15.0029,4.89655,2.42288,4.66457,621.942,301.031,392.916
American Beech,40.33262457,-74.65685248,,6024,Alive,1,172.26,33.1512,3069.56,103.166,11.8873,186.907,14.0375,15.4836,5.24132,2.5866,4.77669,636.892,302.584,412.153
American Beech,40.33324512,-74.65677068,,5992,Alive,1,172.26,33.1512,3069.56,103.166,11.8873,186.907,14.0375,15.4836,5.24132,2.5866,4.77669,636.892,302.584,412.153
American Beech,40.33297779,-74.65668954,,5985,Alive,1,157.205,25.6944,2379.11,102.625,9.24781,145.406,11.9108,13.1379,3.5643,1.79097,4.16204,554.939,284.556,320.637
American Beech,40.33982339,-74.66592506,,5833,Alive,1,197.574,50.6046,4685.61,89.4388,20.7833,326.782,21.069,23.2395,9.63668,4.71259,6.04213,805.618,257.915,720.593
American Beech,40.33993635,-74.66537185,,5778,Alive,1,112.957,53.4511,4949.17,0.169154,22.3688,351.711,22.2266,24.5164,10.3954,5.0806,4.34649,579.532,0.462374,775.564
American Beech,40.34200221,-74.66544963,,5721,Alive,1,112.772,10.8021,1000.19,86.6217,4.53227,71.2621,7.58727,8.36893,1.05912,0.574064,2.16945,289.261,147.229,157.141
American Beech,40.34182282,-74.66520019,,5712,Alive,1,108.325,9.31488,862.489,85.1018,4.00936,63.0403,7.10589,7.83796,0.855998,0.471433,1.93709,258.278,131.58,139.011
American Beech,40.3420155,-74.66525115,,5628,Alive,1,135.006,18.238,1688.71,94.2208,7.14681,112.371,9.99418,11.0238,2.07475,1.08722,3.33129,444.172,225.474,247.792
American Beech,40.34161787,-74.66513179,,5583,Alive,1,112.772,10.8021,1000.19,86.6217,4.53227,71.2621,7.58727,8.36893,1.05912,0.574064,2.16945,289.261,147.229,157.141
American Beech,40.34176046,-74.66502182,,5579,Alive,1,97.9488,5.26166,487.191,83.3686,2.59837,40.8549,4.95994,5.47092,0.527334,0.293186,1.23287,164.383,81.4422,90.0899
American Beech,40.33979835,-74.63442788,,5395,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33978097,-74.63446811,,5394,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33896013,-74.63509306,,5200,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33898057,-74.63512257,,5199,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33899591,-74.63514805,,5198,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33901431,-74.63517219,,5197,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33903168,-74.63519901,,5196,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33904702,-74.63522449,,5195,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33906746,-74.63524997,,5194,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33908586,-74.63527411,,5193,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33910426,-74.63529959,,5192,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.3394646,-74.63572606,,5066,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33948351,-74.6357502,,5065,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33950957,-74.63579044,,5064,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33953871,-74.63581726,,5063,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33956477,-74.63585213,,5062,Alive,1,,,,,,,,,,,,,,
American Beech,40.33958573,-74.63588297,,5061,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33961077,-74.63590711,,5060,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33962866,-74.63594466,,5059,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33965882,-74.63597685,,5058,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.33968488,-74.63599831,,5057,Alive,1,86.6025,0.876548,81.1618,84.0352,0.478736,7.5273,0.843201,0.93007,0.0812895,0.046045,0.287484,38.3313,23.651,16.5986
American Beech,40.34037999,-74.63636041,,4859,Alive,1,89.0657,1.81995,168.514,83.4219,1.04439,16.4213,2.0607,2.273,0.193975,0.109252,0.524798,69.973,36.7399,36.2109
American Beech,40.3415412,-74.66523036,image_pg_5d8def699e43e.jpg,4857,Alive,1,61.3928,1.64483,205.604,51.8172,1.1158,7.96428,5.67471,4.03033,0.990754,0.207034,0.149523,44.7675,25.1924,23.938
American Beech,40.34631721,-74.65837598,,4856,Alive,1,89.0657,1.81995,168.514,83.4219,1.04439,16.4213,2.0607,2.273,0.193975,0.109252,0.524798,69.973,36.7399,36.2109
American Beech,40.3402287,-74.63484094,,4554,Alive,1,,,,,,,,,,,,,,
American Beech,40.3402655,-74.63489458,,4553,Alive,1,,,,,,,,,,,,,,
American Beech,40.34028441,-74.63492945,,4552,Alive,1,,,,,,,,,,,,,,
American Beech,40.34030843,-74.634967,,4551,Alive,1,,,,,,,,,,,,,,
American Beech,40.34033399,-74.63500187,,4550,Alive,1,,,,,,,,,,,,,,
American Beech,40.34035494,-74.63503003,,4549,Alive,1,,,,,,,,,,,,,,
American Beech,40.34037385,-74.63505685,,4548,Alive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beech,40.34039225,-74.63508099,,4547,Alive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beech,40.33433542,-74.6570588,,4296,Alive,1,97.9488,5.26166,487.191,83.3686,2.59837,40.8549,4.95994,5.47092,0.527334,0.293186,1.23287,164.383,81.4422,90.0899
American Beech,40.34922205,-74.65898323,IMG_0035_pg_5d30a17a3f8a2.JPG,4003,Alive,1,91.529,2.76336,255.866,82.8086,1.61005,25.3152,3.27821,3.61593,0.30666,0.172459,0.762111,101.615,49.8289,55.8231
American Beech,40.34737726,-74.65963633,,3918,Alive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
